Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2008,2008,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2009,2009,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2010,2010,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2011,2011,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2012,2012,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2013,2013,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2014,2014,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2015,2015,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2016,2016,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2017,2017,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2018,2018,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2019,2019,tonnes,0,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2020,2020,tonnes,0,,Official data
