Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"210","'752","Sweden","547","'01353.01","Raspberries","5312","Area harvested","2019","2019","ha","130.000000","A"
"173","'616","Poland","552","'01355.01","Blueberries","5419","Yield","1991","1991","hg/ha","43210.000000","E"
"210","'752","Sweden","547","'01353.01","Raspberries","5419","Yield","2020","2020","hg/ha","31667.000000","E"
"54","'208","Denmark","515","'01341","Apples","5510","Production","1990","1990","tonnes","70000.000000","T"
"210","'752","Sweden","547","'01353.01","Raspberries","5312","Area harvested","2005","2005","ha","129.000000","I"
"210","'752","Sweden","547","'01353.01","Raspberries","5510","Production","2019","2019","tonnes","480.000000","A"
"173","'616","Poland","549","'01351.02","Gooseberries","5312","Area harvested","1996","1996","ha","5800.000000","E"
"173","'616","Poland","549","'01351.02","Gooseberries","5510","Production","2008","2008","tonnes","16156.000000","A"
"106","'380","Italy","547","'01353.01","Raspberries","5419","Yield","2006","2006","hg/ha","85000.000000","E"
"54","'208","Denmark","547","'01353.01","Raspberries","5312","Area harvested","1994","1994","ha","31.000000","I"
"210","'752","Sweden","547","'01353.01","Raspberries","5419","Yield","1999","1999","hg/ha","10085.000000","E
"173","'616","Poland","547","'01353.01","Raspberries","5510","Production","2012","2012","tonnes","127055.000000","A"
"173","'616","Poland","549","'01351.02","Gooseberries","5312","Area harvested","1991","1991","ha","5424.000000","I"
"210","'752","Sweden","552","'01355.01","Blueberries","5312","Area harvested","1996","1996","ha","1.000000","I"
"106","'380","Italy","552","'01355.01","Blueberries","5419","Yield","1999","1999","hg/ha","96882.000000","E"
"210","'752","Sweden","547","'01353.01","Raspberries","5419","Yield","2001","2001","hg/ha","12500.000000","E"
"173","'616","Poland","515","'01341","Apples","5510","Production","1961","1961","tonnes","285000.000000","A"
"210","'752","Sweden","552","'01355.01","Blueberries","5510","Production","2019","2019","tonnes","90.000000","A"
"173","'616","Poland","515","'01341","Apples","5510","Production","1971","1971","tonnes","563200.000000","A"
"173","'616","Poland","552","'01355.01","Blueberries","5419","Yield","1992","1992","hg/ha","46721.000000","E"
"54","'208","Denmark","552","'01355.01","Blueberries","5510","Production","2011","2011","tonnes","54.000000","A"
"210","'752","Sweden","515","'01341","Apples","5510","Production","1999","1999","tonnes","18000.000000","A"
"106","'380","Italy","495","'01324","Tangerines, mandarins, clementines","5510","Production","2005","2005","tonnes","617037.000000","A"
"173","'616","Poland","552","'01355.01","Blueberries","5510","Production","2008","2008","tonnes","7857.000000","A"
"97","'348","Hungary","221","'01371","Almonds, in shell","5312","Area harvested","1973","1973","ha","","M"
"106","'380","Italy","221","'01371","Almonds, in shell","5312","Area harvested","1973","1973","ha","241300.000000","T"
"203","'724","Spain","221","'01371","Almonds, in shell","5312","Area harvested","1973","1973","ha","382900.000000","A"
"174","'620","Portugal","221","'01371","Almonds,","in","shell","5312","Area","harvested","1973","1973","ha","39570.000000","A"
"229","'826","United Kingdom of Great Britain and Northern Ireland","515","'01341","Apples","5312","Area harvested","1990","1990","ha","21285.000000","A"
"174","'620","Portugal","515","'01341","Apples","5312","Area harvested","1990","1990","ha","24567.000000","A"
"150","'528","Netherlands","515","'01341","Apples","5312","Area harvested","1990","1990","ha","16300.000000","A"
"210","'752","Sweden","515","'01341","Apples","5312","Area harvested","1990","1990","ha","11634.000000","I"
"51","'200","Czechoslovakia","515","'01341","Apples","5312","Area harvested","1990","1990","ha","44583.000000","I"
"134","'470","Malta","515","'01341","Apples","5312","Area harvested","1990","1990","ha","30.000000","E"
"104","'372","Ireland","515","'01341","Apples","5312","Area harvested","1990","1990","ha","700.000000","A"
"203","'724","Spain","515","'01341","Apples","5312","Area harvested","1990","1990","ha","60900.000000","T"
"173","'616","Poland","515","'01341","Apples","5312","Area harvested","1990","1990","ha","91500.000000","E"
